ZL_DIVN_NBR,RDS_SKU_NBR,LOC_NBR,NSL_QTY
71,20107,5434,1
71,20107,5431,1
71,20107,5430,1
71,20107,5429,1
71,20107,5422,1
71,20107,5242,1
71,20107,5237,1
71,20107,5236,1
71,20107,5235,1
71,20107,5228,1
71,20107,5226,1
71,20107,5223,1
71,20107,5219,1
71,20107,5215,1
71,20107,5211,1
71,20107,5210,1
71,20107,5206,1
71,20107,5203,1
71,20107,5195,1
71,20107,5194,1
71,20107,5190,1
71,20107,5189,1
71,20107,5188,1
71,20107,5187,1
71,20107,5137,1
71,20107,5135,1
71,20107,5133,1
71,20107,5120,1
71,20107,5111,1
71,20107,5074,1
71,20107,5073,1
71,20107,5047,1
71,20107,5038,1
71,20214,5074,1
71,20214,5445,1
71,20214,5434,1
71,20214,5431,1
71,20214,5430,1
71,20214,5429,1
71,20214,5237,1
71,20214,5235,1
71,20214,5194,1
71,20263,5038,1
71,20263,5445,1
71,20263,5433,1
71,20263,5431,1
71,20263,5430,1
71,20263,5429,1
71,20263,5242,1
71,20263,5235,1
71,20263,5228,1
71,20263,5226,1
71,20263,5223,1
71,20263,5219,1
71,20263,5213,1
71,20263,5211,1
71,20263,5210,1
71,20263,5203,1
71,20263,5195,1
71,20263,5194,1
71,20263,5187,1
71,20263,5137,1
71,20263,5135,1
71,20263,5133,1
71,20263,5120,1
71,20263,5111,1
71,20263,5051,1
71,20263,5047,2
71,20263,5040,1
71,20263,5031,1
71,20271,5038,1
71,20271,5445,1
71,20271,5433,1
71,20271,5431,1
71,20271,5430,1
71,20271,5429,1
71,20271,5242,1
71,20271,5235,1
71,20271,5228,1
71,20271,5226,1
71,20271,5223,1
71,20271,5219,1
71,20271,5213,1
71,20271,5211,1
71,20271,5210,1
71,20271,5195,1
71,20271,5194,1
71,20271,5187,1
71,20271,5137,1
71,20271,5135,1
71,20271,5133,1
71,20271,5120,1
71,20271,5111,1
71,20271,5051,1
71,20271,5047,1
71,20271,5040,1
71,20271,5031,1
71,45021,5040,1
71,45021,5225,1
71,45021,5213,1
71,45021,5211,1
71,45021,5206,1
71,45021,5047,1
71,71357,5225,2
71,71357,5431,1
71,71357,5430,2
71,71464,5073,1
71,71464,5430,1
71,71464,5419,2
71,71464,5255,2
71,71464,5236,1
71,71464,5228,2
71,71464,5225,2
71,71464,5210,1
71,71464,5115,1
71,71464,5111,1
71,71464,5074,1
71,71464,5031,2
71,71480,5074,2
71,71589,5031,1
71,71589,5431,1
71,71589,5255,1
71,71589,5236,2
71,71589,5235,1
71,71589,5228,1
71,71589,5225,1
71,71589,5223,1
71,71589,5219,2
71,71589,5210,1
71,71589,5206,1
71,71589,5195,1
71,71589,5133,1
71,71589,5115,2
71,71589,5111,1
71,71589,5074,1
71,71589,5073,1
71,71589,5066,1
71,72819,5031,1
71,72819,5442,2
71,72819,5440,2
71,72819,5433,2
71,72819,5429,2
71,72819,5425,2
71,72819,5424,2
71,72819,5242,2
71,72819,5215,2
71,72819,5185,2
71,72843,5032,1
71,72843,5789,1
71,72843,5445,2
71,72843,5439,1
71,72843,5437,1
71,72843,5434,1
71,72843,5431,2
71,72843,5430,1
71,72843,5427,2
71,72843,5419,1
71,72843,5256,1
71,72843,5255,1
71,72843,5249,1
71,72843,5247,1
71,72843,5240,1
71,72843,5235,4
71,72843,5229,1
71,72843,5226,1
71,72843,5225,4
71,72843,5223,4
71,72843,5219,1
71,72843,5213,1
71,72843,5211,1
71,72843,5210,1
71,72843,5206,1
71,72843,5205,1
71,72843,5203,1
71,72843,5200,1
71,72843,5199,1
71,72843,5198,1
71,72843,5197,1
71,72843,5196,1
71,72843,5195,1
71,72843,5190,1
71,72843,5189,1
71,72843,5188,1
71,72843,5187,1
71,72843,5186,1
71,72843,5185,2
71,72843,5184,1
71,72843,5134,1
71,72843,5133,1
71,72843,5120,1
71,72843,5115,1
71,72843,5074,1
71,72843,5073,1
71,72843,5068,1
71,72843,5067,1
71,72843,5066,1
71,72843,5047,1
71,72843,5046,1
71,72843,5044,1
71,72843,5043,1
71,72843,5042,1
71,72843,5041,1
71,72843,5037,2
71,72843,5035,1
71,72843,5034,1
71,72843,5033,1
71,72934,5040,2
71,72934,5252,2
71,72934,5250,2
71,72934,5236,2
71,72934,5222,4
71,72934,5191,2
71,72934,5137,2
71,72934,5136,2
71,72934,5135,3
71,72934,5111,2
71,72934,5051,2
71,72934,5045,2
71,72934,5038,2
71,80366,5430,1
71,80366,5445,1
71,80366,5431,1
71,80507,5430,1
71,80507,5445,1
71,80507,5431,1
71,80507,5419,1
71,80531,5429,1
71,80531,5445,1
71,80531,5431,1
71,80531,5430,1
71,80531,5419,1
71,80788,5419,1
71,80788,5445,1
71,80788,5430,1
71,80788,5429,1
71,80887,5429,1
71,80887,5445,1
71,80887,5431,1
71,80887,5430,1
71,96966,5035,1
71,96966,5445,1
71,96966,5431,1
71,96966,5430,1
71,96966,5429,1
71,96966,5419,1
71,96966,5255,1
71,96966,5242,1
71,96966,5236,1
71,96966,5229,1
71,96966,5225,1
71,96966,5223,1
71,96966,5219,1
71,96966,5213,1
71,96966,5211,1
71,96966,5205,1
71,96966,5194,1
71,96966,5191,1
71,96966,5136,1
71,96966,5135,1
71,96966,5115,1
71,96966,5111,1
71,96966,5066,1
71,96966,5051,1
71,96966,5040,1
71,96974,5219,3
71,96974,5445,6
71,96974,5431,4
71,96974,5430,4
71,96974,5429,5
71,96974,5422,5
71,96974,5419,4
71,96974,5255,4
71,96974,5242,4
71,96974,5236,3
71,96974,5229,4
71,96974,5225,4
71,96974,5223,4
71,96974,5213,4
71,96974,5211,4
71,96974,5205,4
71,96974,5194,4
71,96974,5191,4
71,96974,5190,1
71,96974,5189,4
71,96974,5136,4
71,96974,5135,5
71,96974,5115,4
71,96974,5111,4
71,96974,5066,4
71,96974,5051,3
71,96974,5040,4
71,96974,5035,4
71,97014,5066,1
71,97014,5445,1
71,97014,5431,1
71,97014,5430,1
71,97014,5429,1
71,97014,5422,1
71,97014,5419,1
71,97014,5255,1
71,97014,5242,1
71,97014,5236,1
71,97014,5229,1
71,97014,5225,1
71,97014,5223,1
71,97014,5219,1
71,97014,5213,1
71,97014,5211,1
71,97014,5205,1
71,97014,5194,1
71,97014,5191,1
71,97014,5189,1
71,97014,5136,1
71,97014,5135,1
71,97014,5115,1
71,97014,5111,1
71,97014,5051,1
71,97014,5040,1
71,97014,5035,1
71,97022,5035,1
71,97022,5445,1
71,97022,5431,2
71,97022,5430,1
71,97022,5429,1
71,97022,5422,1
71,97022,5419,1
71,97022,5255,1
71,97022,5242,1
71,97022,5236,1
71,97022,5229,1
71,97022,5223,1
71,97022,5213,1
71,97022,5194,1
71,97022,5135,1
71,97022,5115,1
71,97022,5111,1
71,97022,5066,1
71,97022,5051,1
71,97022,5040,1
71,97048,5213,1
71,97048,5431,1
71,102012,5031,1
71,102012,5445,1
71,102012,5431,1
71,102012,5430,2
71,102012,5429,1
71,102012,5419,1
71,102012,5247,1
71,102012,5237,1
71,102012,5236,1
71,102012,5235,1
71,102012,5228,1
71,102012,5226,1
71,102012,5225,1
71,102012,5223,1
71,102012,5215,1
71,102012,5213,1
71,102012,5210,1
71,102012,5195,1
71,102012,5191,1
71,102012,5190,1
71,102012,5189,1
71,102012,5187,1
71,102012,5137,1
71,102012,5133,1
71,102012,5120,1
71,102012,5115,1
71,102012,5111,1
71,102012,5074,1
71,102012,5073,1
71,102012,5066,1
71,102012,5051,1
71,102012,5043,1
71,102012,5040,1
71,102012,5038,1
71,102111,5031,1
71,102111,5445,1
71,102111,5431,1
71,102111,5430,1
71,102111,5429,1
71,102111,5422,1
71,102111,5419,1
71,102111,5255,1
71,102111,5247,1
71,102111,5237,1
71,102111,5236,1
71,102111,5235,1
71,102111,5228,1
71,102111,5226,1
71,102111,5225,1
71,102111,5223,1
71,102111,5215,1
71,102111,5213,1
71,102111,5211,1
71,102111,5210,1
71,102111,5206,1
71,102111,5205,1
71,102111,5203,1
71,102111,5195,1
71,102111,5194,1
71,102111,5190,1
71,102111,5189,1
71,102111,5187,1
71,102111,5137,1
71,102111,5135,1
71,102111,5120,1
71,102111,5115,1
71,102111,5111,1
71,102111,5074,1
71,102111,5073,1
71,102111,5051,1
71,102111,5043,1
71,102111,5040,1
71,102111,5038,1
71,102152,5038,1
71,102152,5445,1
71,102152,5433,1
71,102152,5431,1
71,102152,5430,1
71,102152,5429,1
71,102152,5422,1
71,102152,5419,1
71,102152,5255,1
71,102152,5247,1
71,102152,5237,1
71,102152,5236,1
71,102152,5235,1
71,102152,5228,1
71,102152,5226,1
71,102152,5225,1
71,102152,5223,1
71,102152,5215,1
71,102152,5213,1
71,102152,5211,1
71,102152,5210,1
71,102152,5206,1
71,102152,5205,1
71,102152,5203,1
71,102152,5195,1
71,102152,5194,1
71,102152,5190,1
71,102152,5189,1
71,102152,5187,1
71,102152,5137,1
71,102152,5135,2
71,102152,5120,1
71,102152,5115,1
71,102152,5111,2
71,102152,5074,1
71,102152,5073,1
71,102152,5051,1
71,102152,5043,1
71,102152,5040,1
71,102152,5031,1
71,104679,5040,1
71,104679,5445,1
71,104679,5434,1
71,104679,5433,1
71,104679,5431,1
71,104679,5430,1
71,104679,5429,1
71,104679,5419,1
71,104679,5255,1
71,104679,5237,1
71,104679,5228,1
71,104679,5223,1
71,104679,5219,1
71,104679,5215,1
71,104679,5213,1
71,104679,5211,1
71,104679,5205,1
71,104679,5203,1
71,104679,5190,1
71,104679,5189,1
71,104679,5136,1
71,104679,5135,1
71,104679,5115,1
71,104679,5111,1
71,104679,5047,1
71,104679,5038,1
71,105411,5225,1
71,105411,5445,1
71,105411,5431,1
71,105411,5430,1
71,105411,5429,1
71,105411,5255,1
71,105411,5237,1
71,105411,5226,1
71,105411,5210,1
71,105411,5137,1
71,105411,5120,1
71,105411,5066,1
71,105411,5051,2
71,105411,5040,1
71,105411,5031,1
71,105429,5031,1
71,105429,5445,1
71,105429,5431,1
71,105429,5430,1
71,105429,5429,1
71,105429,5255,1
71,105429,5237,1
71,105429,5226,1
71,105429,5225,1
71,105429,5210,1
71,105429,5137,1
71,105429,5120,1
71,105429,5066,1
71,105429,5051,1
71,105429,5040,1
71,105437,5040,1
71,105437,5445,1
71,105437,5431,1
71,105437,5430,1
71,105437,5429,1
71,105437,5255,1
71,105437,5237,1
71,105437,5226,1
71,105437,5225,1
71,105437,5223,1
71,105437,5210,1
71,105437,5120,1
71,105437,5066,1
71,105437,5051,1
71,105437,5031,1
71,105445,5031,1
71,105445,5431,2
71,105445,5430,1
71,105445,5429,1
71,105445,5255,1
71,105445,5237,1
71,105445,5226,1
71,105445,5225,1
71,105445,5223,1
71,105445,5210,1
71,105445,5137,1
71,105445,5120,1
71,105445,5066,1
71,105445,5051,1
71,105445,5040,1
71,105452,5066,1
71,105452,5445,1
71,105452,5431,1
71,105452,5430,1
71,105452,5429,1
71,105452,5255,2
71,105452,5237,1
71,105452,5226,1
71,105452,5225,1
71,105452,5210,1
71,105452,5137,1
71,105452,5120,1
71,105452,5051,1
71,105452,5040,1
71,105452,5031,1
71,105478,5040,1
71,105478,5445,1
71,105478,5431,1
71,105478,5430,1
71,105478,5429,1
71,105478,5237,1
71,105478,5226,1
71,105478,5225,1
71,105478,5210,1
71,105478,5137,1
71,105478,5120,1
71,105478,5066,1
71,105478,5051,1
71,105510,5445,1
71,105510,5434,1
71,105510,5433,1
71,105510,5431,1
71,105510,5430,1
71,105510,5429,1
71,105510,5419,1
71,105510,5255,1
71,105510,5242,1
71,105510,5237,1
71,105510,5228,1
71,105510,5223,1
71,105510,5219,1
71,105510,5215,1
71,105510,5213,1
71,105510,5211,1
71,105510,5205,1
71,105510,5203,1
71,105510,5190,1
71,105510,5189,1
71,105510,5136,1
71,105510,5135,1
71,105510,5115,1
71,105510,5111,1
71,105510,5047,1
71,105510,5040,1
71,105510,5038,1
71,108316,5240,1
71,108407,5240,1
71,117291,5031,1
71,117291,5431,1
71,117291,5430,1
71,117291,5429,1
71,117291,5255,1
71,117291,5223,1
71,117291,5205,1
71,117291,5194,1
71,117291,5188,1
71,117291,5137,1
71,117291,5136,1
71,117291,5120,1
71,117291,5074,1
71,117291,5051,1
71,120931,5031,1
71,120931,5431,1
71,120931,5419,1
71,120931,5255,1
71,120931,5228,1
71,120931,5213,1
71,120931,5133,1
71,120931,5073,1
71,120931,5066,1
71,129395,5066,1
71,129395,5431,1
71,129395,5430,1
71,129395,5255,1
71,129395,5236,1
71,129395,5235,1
71,129395,5225,1
71,129395,5137,1
71,129395,5133,1
71,129395,5120,1
71,129395,5074,1
71,129395,5073,1
71,129395,5051,1
71,129395,5040,1
71,129395,5031,1
71,135285,5031,1
71,135285,5431,1
71,135285,5430,1
71,135285,5255,1
71,135285,5236,1
71,135285,5235,1
71,135285,5225,1
71,135285,5137,1
71,135285,5133,1
71,135285,5120,1
71,135285,5074,1
71,135285,5073,1
71,135285,5066,1
71,135285,5051,1
71,135285,5040,1
71,142711,5038,1
71,142711,5445,1
71,142711,5433,1
71,142711,5431,1
71,142711,5430,1
71,142711,5429,1
71,142711,5237,1
71,142711,5236,1
71,142711,5235,1
71,142711,5228,1
71,142711,5226,1
71,142711,5225,1
71,142711,5213,1
71,142711,5210,1
71,142711,5203,1
71,142711,5195,1
71,142711,5187,1
71,142711,5137,1
71,142711,5135,1
71,142711,5120,1
71,142711,5115,1
71,142711,5074,1
71,142711,5073,1
71,142711,5066,1
71,142711,5051,1
71,142711,5043,1
71,142711,5040,1
71,142711,5031,1
71,151415,5051,1
71,151415,5431,1
71,151415,5430,1
71,151415,5429,1
71,151415,5237,1
71,151415,5228,1
71,151415,5223,1
71,151415,5219,1
71,151415,5215,1
71,151415,5211,1
71,151415,5205,1
71,151415,5187,1
71,151415,5137,1
71,151415,5135,1
71,151415,5120,1
71,151415,5074,1
71,151415,5073,1
71,151415,5066,1
71,151415,5031,1
71,157297,5047,1
71,157297,5434,1
71,157297,5433,1
71,157297,5431,1
71,157297,5430,1
71,157297,5429,1
71,157297,5255,1
71,157297,5235,1
71,157297,5228,1
71,157297,5225,1
71,157297,5213,1
71,157297,5195,1
71,157297,5115,1
71,157297,5073,1
71,157404,5051,1
71,157404,5431,1
71,157404,5430,1
71,157404,5255,1
71,157404,5235,1
71,157404,5228,1
71,157404,5225,1
71,157404,5223,1
71,157404,5213,1
71,157404,5115,1
71,157404,5073,1
71,157412,5073,1
71,157412,5431,1
71,157412,5430,1
71,157412,5255,1
71,157412,5235,1
71,157412,5228,1
71,157412,5225,1
71,157412,5223,1
71,157412,5213,1
71,157412,5115,1
71,157412,5051,1
71,157453,5047,1
71,157453,5445,1
71,157453,5434,1
71,157453,5433,1
71,157453,5431,1
71,157453,5430,1
71,157453,5255,2
71,157453,5237,1
71,157453,5235,1
71,157453,5228,1
71,157453,5225,1
71,157453,5223,1
71,157453,5213,1
71,157453,5187,1
71,157453,5133,1
71,157453,5115,1
71,157453,5073,1
71,157479,5035,1
71,157479,5431,1
71,157479,5430,1
71,157479,5429,1
71,157479,5422,1
71,157479,5255,1
71,157479,5237,1
71,157479,5236,1
71,157479,5229,1
71,157479,5228,1
71,157479,5225,2
71,157479,5223,1
71,157479,5213,1
71,157479,5210,1
71,157479,5206,1
71,157479,5205,1
71,157479,5203,1
71,157479,5194,1
71,157479,5188,1
71,157479,5187,1
71,157479,5137,1
71,157479,5120,1
71,157479,5115,1
71,157479,5074,1
71,157479,5073,1
71,157479,5051,2
71,157479,5040,1
71,157479,5031,1
71,159566,5038,1
71,159566,5445,1
71,159566,5434,1
71,159566,5433,1
71,159566,5431,1
71,159566,5430,1
71,159566,5429,1
71,159566,5422,1
71,159566,5419,1
71,159566,5255,1
71,159566,5247,1
71,159566,5242,1
71,159566,5237,1
71,159566,5236,1
71,159566,5235,1
71,159566,5228,1
71,159566,5226,1
71,159566,5225,1
71,159566,5223,2
71,159566,5215,1
71,159566,5213,1
71,159566,5211,1
71,159566,5210,1
71,159566,5206,1
71,159566,5205,1
71,159566,5203,1
71,159566,5195,1
71,159566,5194,1
71,159566,5191,1
71,159566,5190,1
71,159566,5189,1
71,159566,5187,1
71,159566,5137,1
71,159566,5136,1
71,159566,5120,1
71,159566,5115,1
71,159566,5111,1
71,159566,5074,1
71,159566,5073,1
71,159566,5066,1
71,159566,5051,1
71,159566,5047,1
71,159566,5040,1
71,159566,5031,1
71,160143,5035,1
71,160143,5434,1
71,160143,5433,1
71,160143,5431,1
71,160143,5430,1
71,160143,5429,1
71,160143,5422,1
71,160143,5419,1
71,160143,5255,1
71,160143,5242,1
71,160143,5237,1
71,160143,5236,1
71,160143,5235,1
71,160143,5229,1
71,160143,5228,1
71,160143,5226,1
71,160143,5225,1
71,160143,5223,1
71,160143,5219,1
71,160143,5213,1
71,160143,5210,1
71,160143,5206,1
71,160143,5205,1
71,160143,5203,1
71,160143,5194,1
71,160143,5191,1
71,160143,5190,1
71,160143,5189,1
71,160143,5188,1
71,160143,5187,1
71,160143,5137,1
71,160143,5136,1
71,160143,5120,1
71,160143,5115,1
71,160143,5111,1
71,160143,5074,1
71,160143,5073,1
71,160143,5051,1
71,160143,5047,2
71,160143,5040,1
71,160143,5031,1
71,160150,5031,1
71,160150,5225,1
71,160150,5223,1
71,160150,5219,1
71,160150,5213,1
71,160150,5210,1
71,160150,5206,1
71,160150,5205,1
71,160150,5203,1
71,160150,5194,1
71,160150,5191,1
71,160150,5190,1
71,160150,5189,1
71,160150,5188,1
71,160150,5187,1
71,160150,5137,1
71,160150,5136,1
71,160150,5120,1
71,160150,5115,1
71,160150,5111,1
71,160150,5074,1
71,160150,5073,1
71,160150,5051,1
71,160150,5047,2
71,160150,5040,1
71,160150,5434,1
71,160150,5419,1
71,160150,5255,1
71,160150,5242,1
71,160150,5237,1
71,160150,5236,1
71,160150,5235,1
71,160150,5228,1
71,160150,5226,1
71,160150,5433,1
71,160150,5431,1
71,160150,5430,1
71,160150,5429,1
71,160150,5422,1
71,160168,5035,1
71,160168,5431,1
71,160168,5430,1
71,160168,5429,1
71,160168,5422,1
71,160168,5255,1
71,160168,5237,1
71,160168,5236,1
71,160168,5235,1
71,160168,5229,1
71,160168,5228,1
71,160168,5226,1
71,160168,5225,1
71,160168,5223,1
71,160168,5213,1
71,160168,5206,1
71,160168,5194,1
71,160168,5190,1
71,160168,5188,1
71,160168,5187,1
71,160168,5137,1
71,160168,5136,1
71,160168,5120,1
71,160168,5115,1
71,160168,5074,1
71,160168,5073,1
71,160168,5051,1
71,160168,5040,1
71,160168,5031,1
71,160523,5031,5
71,160523,5434,4
71,160523,5433,4
71,160523,5431,6
71,160523,5430,3
71,160523,5429,5
71,160523,5422,4
71,160523,5419,4
71,160523,5255,5
71,160523,5242,4
71,160523,5237,6
71,160523,5236,6
71,160523,5235,6
71,160523,5229,4
71,160523,5228,6
71,160523,5226,6
71,160523,5225,5
71,160523,5223,6
71,160523,5219,4
71,160523,5213,4
71,160523,5210,6
71,160523,5206,6
71,160523,5205,4
71,160523,5203,6
71,160523,5194,6
71,160523,5191,4
71,160523,5190,4
71,160523,5189,4
71,160523,5188,6
71,160523,5187,6
71,160523,5137,4
71,160523,5136,4
71,160523,5120,6
71,160523,5115,6
71,160523,5111,1
71,160523,5074,6
71,160523,5073,6
71,160523,5051,5
71,160523,5047,4
71,160523,5040,4
71,160523,5035,4
71,174839,5225,1
71,174839,5431,1
71,174839,5430,1
71,174839,5429,1
71,174839,5255,1
71,174839,5228,1
71,174839,5194,1
71,174839,5051,1
71,174839,5040,1
71,174862,5040,1
71,174862,5444,1
71,174862,5431,1
71,174862,5430,1
71,174862,5429,1
71,174862,5255,1
71,174862,5228,1
71,174862,5225,1
71,174862,5194,1
71,174862,5051,1
71,174904,5051,1
71,174904,5431,1
71,174904,5430,1
71,174904,5228,1
71,174904,5225,1
71,174904,5194,1
71,175034,5255,1
71,175083,5051,1
71,175083,5430,1
71,175083,5429,1
71,175083,5255,1
71,175083,5247,1
71,175083,5236,1
71,175083,5228,1
71,175083,5137,1
71,175083,5133,1
71,175083,5115,1
71,175083,5074,1
71,175083,5073,1
71,175083,5066,1
71,175083,5031,1
71,180513,5051,6
71,180513,5431,6
71,180513,5430,6
71,180513,5429,2
71,180513,5255,4
71,180513,5237,2
71,180513,5236,6
71,180513,5235,2
71,180513,5228,2
71,180513,5226,6
71,180513,5225,6
71,180513,5210,2
71,180513,5205,2
71,180513,5195,6
71,180513,5194,2
71,180513,5187,2
71,180513,5137,2
71,180513,5120,2
71,180513,5115,2
71,180513,5074,1
71,180513,5073,6
71,180513,5066,6
71,180513,5040,6
71,180513,5038,2
71,180513,5031,5
71,180794,5031,1
71,180794,5431,1
71,180794,5255,1
71,180794,5228,1
71,180794,5225,1
71,180794,5219,1
71,180794,5213,1
71,180794,5135,1
71,180794,5133,1
71,180794,5115,1
71,180794,5111,1
71,180794,5073,1
71,180794,5042,1
71,180794,5032,1
71,180943,5031,6
71,180943,5439,5
71,180943,5437,1
71,180943,5434,12
71,180943,5433,5
